6992 : [(621.4248046875, 160.2919921875)]
7092 : [(225.3966064453125, 442.1477355957031)]
7163 : [(400.1677551269531, 412.0086975097656)]
7187 : [(487.7470703125, 47.31687927246094), (485.51470947265625, 47.6496467590332)]
7235 : [(617.9073486328125, 198.0221405029297)]
7273 : [(630.98583984375, 143.81219482421875)]
7350 : [(88.59781646728516, 455.3213806152344)]
7365 : [(564.6595458984375, 137.96469116210938)]
7385 : [(581.5664672851562, 143.1075439453125)]
7417 : [(425.7242431640625, 332.3302917480469)]
7447 : [(420.1072998046875, 120.52560424804688)]
7494 : [(568.688720703125, 135.030029296875)]
7512 : [(252.2787628173828, 404.6795654296875)]
7521 : [(539.9505004882812, 281.70098876953125)]
7665 : [(496.4211120605469, 151.50755310058594)]
7759 : [(105.82520294189453, 442.0212097167969)]
7783 : [(397.5966491699219, 121.96649932861328)]
7813 : [(213.50808715820312, 457.11798095703125)]
7817 : [(415.0560607910156, 317.1558532714844)]
7857 : [(834.67822265625, 420.08673095703125)]
7874 : [(398.1334228515625, 102.59896087646484)]
7891 : [(228.9367218017578, 209.9402618408203)]
7998 : [(420.32891845703125, 114.05854034423828)]
8100 : [(352.20355224609375, 48.972164154052734)]
8122 : [(714.1336059570312, 419.98297119140625)]
8192 : [(78.42632293701172, 436.6334533691406)]
8202 : [(427.1394348144531, 407.1318664550781)]
8283 : [(382.0181579589844, 122.55323791503906)]
8342 : [(164.59701538085938, 419.2028503417969)]
8368 : [(724.661376953125, 430.56353759765625)]
8384 : [(252.5690155029297, 96.08633422851562)]
8426 : [(326.16412353515625, 405.1430358886719)]
8473 : [(71.78682708740234, 461.178466796875), (65.14180755615234, 461.108154296875)]
8479 : [(467.1478576660156, 105.35607147216797)]
8495 : [(13.952773094177246, 433.68804931640625)]
8538 : [(779.3472290039062, 439.90924072265625)]
8540 : [(817.470458984375, 423.1243591308594)]
8548 : [(81.23796081542969, 441.35662841796875)]
8645 : [(144.26025390625, 429.8408508300781)]
8706 : [(546.1165161132812, 131.5025177001953)]
8773 : [(276.9507751464844, 128.23565673828125)]
8856 : [(3.5425870418548584, 381.8794250488281)]
8869 : [(10.356637001037598, 387.3199768066406)]
8879 : [(319.8036804199219, 69.85074615478516)]
8917 : [(342.4124450683594, 118.9273452758789)]
8924 : [(316.50823974609375, 135.93267822265625)]
8935 : [(412.0250244140625, 160.18675231933594)]
8964 : [(834.6414794921875, 415.8395690917969)]
8989 : [(252.5690155029297, 96.08633422851562)]
8995 : [(490.6083679199219, 48.22190856933594)]
8997 : [(443.86822509765625, 99.82504272460938)]
9044 : [(208.90200805664062, 439.64447021484375)]
9051 : [(623.6116943359375, 132.12254333496094)]
9084 : [(597.826171875, 149.6464080810547)]
9194 : [(148.48556518554688, 442.68377685546875)]
9219 : [(447.017578125, 125.69148254394531)]
9325 : [(398.000244140625, 11
